snapshot_date,source_created_at,idProduct,name,idCategory,categoryName,idExpansion,idMetacard,dateAdded,avg,low,trend,avg1,avg7,avg30
2026-07-04,2026-07-04T02:47:08+0200,565899,Adventures in the Forgotten Realms Collector Booster Box,7,Magic Display,4259,0,2021-05-21 16:59:41,216.93,159,230.53,,,
2026-07-04,2026-07-04T02:47:08+0200,803869,Aetherdrift Collector Booster Box,7,Magic Display,5982,0,2024-12-11 10:59:59,210.18,180,205.68,,,
2026-07-04,2026-07-04T02:47:08+0200,774110,Bloomburrow Collector Booster Box,7,Magic Display,5658,0,2024-06-10 17:18:27,657.67,599.99,638.13,,,
2026-07-04,2026-07-04T02:47:08+0200,492099,Commander Legends Collector Booster Box,7,Magic Display,3454,0,2020-08-24 14:17:37,419,333.33,450.13,,,
2026-07-04,2026-07-04T02:47:08+0200,650825,Commander Legends: Battle for Baldur's Gate Collector Booster Box,7,Magic Display,5030,0,2022-03-29 14:37:06,381.22,268.82,396.3,,,
2026-07-04,2026-07-04T02:47:08+0200,698962,Commander Masters Collector Booster Box,7,Magic Display,5286,0,2023-02-22 14:58:05,429.96,122,447.13,,,
2026-07-04,2026-07-04T02:47:08+0200,466034,Core 2021 Collector Booster Box,7,Magic Display,3048,0,2020-06-05 10:49:33,244.24,180,239.96,,,
2026-07-04,2026-07-04T02:47:08+0200,681210,Dominaria Remastered Collector Booster Box,7,Magic Display,5192,0,2022-10-25 11:43:55,360.7,339.99,379.01,,,
2026-07-04,2026-07-04T02:47:08+0200,657414,Dominaria United Collector Booster Box,7,Magic Display,5072,0,2022-05-13 16:25:34,243.92,200,236.5,,,
2026-07-04,2026-07-04T02:47:08+0200,657282,Double Masters 2022 Collector Booster Box,7,Magic Display,5070,0,2022-05-13 15:30:40,327.87,122,348.42,,,
2026-07-04,2026-07-04T02:47:08+0200,776442,Duskmourn: House of Horror Collector Booster Box,7,Magic Display,5806,0,2024-07-02 16:45:10,390.97,329.9,399.45,,,
2026-07-04,2026-07-04T02:47:08+0200,813293,Edge of Eternities Collector Booster Box,7,Magic Display,6063,0,2025-02-24 12:46:27,442.14,399,448.57,,,
2026-07-04,2026-07-04T02:47:08+0200,426991,Ikoria: Lair of Behemoths Collector Booster Box,7,Magic Display,2819,0,2019-11-28 16:18:06,313.59,229.9,294.39,,,
2026-07-04,2026-07-04T02:47:08+0200,795092,Innistrad Remastered Collector Booster Box,7,Magic Display,5930,0,2024-10-28 12:31:23,291.21,249.99,310.2,,,
2026-07-04,2026-07-04T02:47:08+0200,573796,Innistrad: Crimson Vow Collector Booster Box,7,Magic Display,4364,0,2021-08-06 15:04:52,176.37,148,176.6,,,
2026-07-04,2026-07-04T02:47:08+0200,573781,Innistrad: Midnight Hunt Collector Booster Box,7,Magic Display,4362,0,2021-08-06 14:55:33,155.66,128,150.71,,,
2026-07-04,2026-07-04T02:47:08+0200,527325,Kaldheim Collector Booster Box,7,Magic Display,3660,0,2020-12-15 15:30:17,285.38,175,280.29,,,
2026-07-04,2026-07-04T02:47:08+0200,587696,Kamigawa: Neon Dynasty Collector Booster Box,7,Magic Display,4472,0,2021-12-17 11:54:15,335.24,305,331.75,,,
2026-07-04,2026-07-04T02:47:08+0200,851271,Lorwyn Eclipsed Collector Booster Box,7,Magic Display,6325,0,2025-09-29 09:18:52,308.85,250,306.33,,,
2026-07-04,2026-07-04T02:47:08+0200,812573,Magic: The Gathering - FINAL FANTASY Collector Booster Box,7,Magic Display,6057,0,2025-02-19 11:07:32,796.88,630,852.51,,,
2026-07-04,2026-07-04T02:47:08+0200,781941,Magic: The Gathering Foundations Collector Booster Box,7,Magic Display,5852,0,2024-08-07 11:49:07,536.33,329.95,524.71,,,
2026-07-04,2026-07-04T02:47:08+0200,842564,Magic: The Gathering | Avatar: The Last Airbender Collector Booster Box,7,Magic Display,6261,0,2025-08-13 11:34:30,309.51,294,308.2,,,
2026-07-04,2026-07-04T02:47:08+0200,869496,Magic: The Gathering | Marvel Super Heroes Collector Booster Box,7,Magic Display,6476,0,2026-01-28 13:25:37,346.43,269.99,308.1,,,
2026-07-04,2026-07-04T02:47:08+0200,814380,Magic: The Gathering | Marvel's Spider-Man Collector Booster Box,7,Magic Display,6070,0,2025-03-03 11:57:58,269.44,268,274.49,,,
2026-07-04,2026-07-04T02:47:08+0200,853671,Magic: The Gathering | Teenage Mutant Ninja Turtles Collector Booster Box,7,Magic Display,6345,0,2025-10-13 14:34:50,274.36,239.99,286.24,,,
2026-07-04,2026-07-04T02:47:08+0200,696391,March of the Machine Collector Booster Box,7,Magic Display,5227,0,2023-02-10 22:28:20,364.93,280,402.85,,,
2026-07-04,2026-07-04T02:47:08+0200,703885,March of the Machine: The Aftermath Collector Booster Box,7,Magic Display,5320,0,2023-03-31 15:26:44,139.97,93,168.46,,,
2026-07-04,2026-07-04T02:47:08+0200,562095,Modern Horizons 2 Collector Booster Box,7,Magic Display,4219,0,2021-04-27 14:45:19,398.11,333,405.34,,,
2026-07-04,2026-07-04T02:47:08+0200,758483,Modern Horizons 3 Collector Booster Box,7,Magic Display,5652,0,2024-02-26 11:57:51,605.54,459.9,645.39,,,
2026-07-04,2026-07-04T02:47:08+0200,748052,Murders at Karlov Manor Collector Booster Box,7,Magic Display,5561,0,2023-12-06 14:17:20,262.73,122,260.81,,,
2026-07-04,2026-07-04T02:47:08+0200,758326,Outlaws of Thunder Junction Collector Booster Box,7,Magic Display,5647,0,2024-02-24 10:01:37,286.05,190,293.83,,,
